cwe_link,cwe_name,cwe_number,,
https://cwe.mitre.org/data/definitions/682.html,Incorrect Calculation,682,,
https://cwe.mitre.org/data/definitions/128.html,Wrap-around Error,128,,
https://cwe.mitre.org/data/definitions/131.html,Incorrect Calculation of Buffer Size,131,,
https://cwe.mitre.org/data/definitions/135.html,Incorrect Calculation of Multi-Byte String Length,135,,
https://cwe.mitre.org/data/definitions/190.html,Integer Overflow or Wraparound,190,,
https://cwe.mitre.org/data/definitions/191.html,Integer Underflow (Wrap or Wraparound),191,,
https://cwe.mitre.org/data/definitions/193.html,Off-by-one Error,193,,
https://cwe.mitre.org/data/definitions/369.html,Divide By Zero,369,,
https://cwe.mitre.org/data/definitions/467.html,Use of sizeof() on a Pointer Type,467,,
https://cwe.mitre.org/data/definitions/468.html,Incorrect Pointer Scaling,468,,
https://cwe.mitre.org/data/definitions/469.html,Use of Pointer Subtraction to Determine Size,469,,
https://cwe.mitre.org/data/definitions/118.html,Incorrect Access of Indexable Resource ('Range Error'),118,,
https://cwe.mitre.org/data/definitions/119.html,Improper Restriction of Operations within the Bounds of a Memory Buffer,119,,
https://cwe.mitre.org/data/definitions/120.html,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),120,,
https://cwe.mitre.org/data/definitions/123.html,Write-what-where Condition,123,,
https://cwe.mitre.org/data/definitions/125.html,Out-of-bounds Read,125,,
https://cwe.mitre.org/data/definitions/466.html,Return of Pointer Value Outside of Expected Range,466,,
https://cwe.mitre.org/data/definitions/680.html,Integer Overflow to Buffer Overflow,680,,
https://cwe.mitre.org/data/definitions/786.html,Access of Memory Location Before Start of Buffer,786,,
https://cwe.mitre.org/data/definitions/124.html,Buffer Underwrite ('Buffer Underflow'),124,,
https://cwe.mitre.org/data/definitions/127.html,Buffer Under-read,127,,
https://cwe.mitre.org/data/definitions/787.html,Out-of-bounds Write,787,,
https://cwe.mitre.org/data/definitions/788.html,Access of Memory Location After End of Buffer,788,,
https://cwe.mitre.org/data/definitions/121.html,Stack-based Buffer Overflow,121,,
https://cwe.mitre.org/data/definitions/122.html,Heap-based Buffer Overflow,122,,
https://cwe.mitre.org/data/definitions/126.html,Buffer Over-read,126,,
https://cwe.mitre.org/data/definitions/805.html,Buffer Access with Incorrect Length Value,805,,
https://cwe.mitre.org/data/definitions/806.html,Buffer Access Using Size of Source Buffer,806,,
