"brand","model","class","type"
"7t","igss","a","SCADA"
"siemens","6es7 215-1ag40-0xb0","h","PLC"
"jirfine","v8","h","CNC"
"schneider","u.motion","a","UnkICS"
"fanuc","ncguide pro","a","CNCSS"
"mcgs","mcgs","a","SCADA"
"mcgs","tpc7062tx","h","HMI"
"sierra monitor","fs-b3510-05","h","ICSGW"
"moxa","nport 5600-8-dtl series","h","SDS"
"siemens","simatic s7 1200 cpu","h","PLC"
"moxa","nport 5100 series","h","SDS"
"moxa","nport 6100 series","h","SDS"
"siemens","simatic et 200sp","h","OthICS"
"siemens","simatic teleservice adapter standard modem","h","CPIE"
"mitsubishi","q03udvcpu","h","PLC"
"phoenixcontact","ilc 191 me/an","h","PLC"
"moxa","mgate mb3270 router","h","ICSGW"
"iconics","genesis32","a","SCADA"
"beckhoff","tf3650","h","PLC"
"delta","mh300","h","VFD"
"hollysys","le5104","h","PLC"
"omron","61f-g","h","RPD"
"abb","pb610 panel builder 600","a","DCS_S"
"phoenixcontact","ilc 151 gsm/gprs","h","PLC"
"phoenixcontact","ilc 150 gsm/gprs","h","PLC"
"phoenixcontact","ilc 190 eth 2tx","h","PLC"
"abb","pb610","h","HMI"
"red lion","g12","h","PLC"
"sac","633u","h","RPD"
"schneider","rtu32","h","PLC"
"nr","pcs-9611","h","UnkICS"
"unknown","apax-5620kw","h","PLC"
"selinc","sel-2241","h","PLC"
"deltaww","commgr","a","SCADA"
"phoenixcontact","multiprog","a","SCADA"
"phoenixcontact","170","h","PLC"
"phoenixcontact","1050","h","PLC"
"phoenixcontact","191","h","PLC"
"phoenixcontact","190","h","PLC"
"phoenixcontact","131","h","PLC"
"phoenixcontact","130","h","PLC"
"phoenixcontact","370","h","PLC"
"phoenixcontact","151","h","PLC"
"phoenixcontact","155","h","PLC"
"phoenixcontact","330","h","PLC"
"phoenixcontact","350","h","PLC"
"phoenixcontact","171","h","PLC"
"schneider","@iie_h_plc_schneider","h","PLC"
"siemens","6es7 313-5bg04-0ab0","h","PLC"
"siemens","s7300 series","h","PLC"
"siemens","6es7 412-2ek06-0ab0","h","PLC"
"allen-bradley","1766-l32bwaa","h","PLC"
"allen-bradley","2080-lc50-24qwb","h","PLC"
"allen-bradley","1766-l32bxb","h","PLC"
"allen-bradley","1752-l24bbbe","h","PLC"
"allen-bradley","1769-l33er","h","PLC"
"allen-bradley","1756-l61","h","PLC"
"allen-bradley","1756-en2t","h","PLC"
"ge","d20me","h","PLC"
"schneider","modicon m580","h","PLC"
"selinc","sel-751","h","RPD"
"schneider","bmx noe 0100","a","PLC"
"allen-bradley","1763-l16bwa","h","PLC"
"allen-bradley","1769-l32e","h","PLC"
"opto22","snap-pac-r2","h","PLC"
"yokogawa","centum cs 1000 software","a","DCS_S"
"moxa","ne-4100 series","h","SDS"
"moxa","miineport e1","h","SDS"
"moxa","mgate mb3170 series","h","SDS"
"moxa","wdr-3124a-eu","h","IWLR"
"siemens","6es7 315-2eh14-0ab0","h","PLC"
"siemens","6es7 212-1be31-0xb0","h","PLC"
"siemens","6es7 214-1hg40-0xb0","h","PLC"
"siemens","6es7 151-7aa20-0ab0","h","PLC"
"siemens","6es7 211-1he40-0xb0","h","PLC"
"siemens","6es7 517-3fp00-0ab0","h","PLC"
"siemens","6es7 318-2aj00-0ab0","h","PLC"
"omron","cj2b-eip21","h","PLC"
"allen-bradley","2080-lc20-20qwb","h","PLC"
"allen-bradley","2080-lc50-24qbb","h","PLC"
"allen-bradley","micrologix 1400","h","PLC"
"phoenixcontact","ilc 370 2tx-ib","h","PLC"
"yokogawa","dx1000/2000","h","PLC"
"yokogawa","mw100","h","DAM"
"abb","rec670","h","PLC"
"abb","ref615","h","RPD"
"abb","rtu500","a","RTU"
"ge","f650","h","RPD"
"ge","t650","h","RPD"
"ge","ic695cpe330","h","PLC"
"schneider","xflow","a","SCADA"
"schneider","c264","h","PLC"
"selinc","sel-3061","h","IRouter"
"siemens","eki 1526","a","SDS"
"sierra wireless","gx400","h","IWLR"
"honeywell","xl web controller","a","SCADA"
"abb","rtu540 series","h","RTU"
"moxa","mgate mb3180","h","SDS"
"adcon telemetry","a850 telemetry gateway","h","ICSGW"
"mitsubishi","12dccpu-v","h","PLC"
"mitsubishi","l06cpu","h","PLC"
"mitsubishi","q170mscpu","h","PLC"
"ge","ic695cpe305","h","PLC"
"clorius","isc scada service","a","SCADA"
"nordex","nordex control 2 scada","a","SCADA"
"omron","cj1w-etn21","h","PLC"
"advantech","advantech webaccess","a","SCADA"
"omron","cp1l-em30dt1-d","h","PLC"
"omron","cj1g_cpu45h","h","PLC"
"omron","nj101-9000","h","PLC"
"four-faith","f3x25 series","h","IWLR"
"rockwell","micrologix 1200","h","PLC"
"selinc","sel-787","h","RPD"
"emerson","intellislot web card","h","ICSWebCard"
"siemens","s7-300","h","PLC"
"ge","versamax series","h","PLC"
"rts services","rts scada server","a","SCADA"
"reliance","reliance 4","h","SCADA"
"mitsubishi","fx5u-32mr/es","h","PLC"
"wago","d-32423","h","PLC"
"sunwayland","forcecontrol","a","SCADA"
"inovance","h2u-enet-bd","h","PLC"
"adcon telemetry","a840 telemetry gateway","h","ICSGW"
"abb","srea-50","h","CPIE"
"schneider","tsxfpp10","h","PLC"
"schneider","tsxrey200","h","PLC"
"schneider","xbtz9710","h","PLC"
"schneider","ozdfipg3","h","PLC"
"siemens","6md86","h","RPD"
"ge","@iie_h_hmi_ge","h","HMI"
"wago","e!display 762-3000","h","HMI"
"phoenixcontact","proconos eclr","o","PLC"
"rockwell","micrologix 1400 b","h","PLC"
"advantech","eki-1200 gateway series","h","SDS"
"rockwell","compactlogix controller 1769","h","PLC"
"advantech","eki-122x series","h","SDS"
"advantech","eki-1321 series","h","SDS"
"advantech","eki-1322 series","h","SDS"
"advantech","eki-1361 series","h","SDS"
"advantech","eki-1362 series","h","SDS"
"mitsubishi","q04udvcpu","h","PLC"
"mitsubishi","q06udehcpu","h","PLC"
"mitsubishi","q03udecpu","h","PLC"
"mitsubishi","q06udvcpu","h","PLC"
"mitsubishi","q13udvcpu","h","PLC"
"mitsubishi","q04udehcpu","h","PLC"
"phoenixcontact","ilc 151 eth","h","PLC"
"phoenixcontact","ilc 151 eth/xc","h","PLC"
"phoenixcontact","ilc 131 eth/xc","h","PLC"
"siemens","6es7 322-1bh01-0aa0","h","PLC"
"ge fanuc","ifix","a","SCADA"
"abb","microscada","a","SCADA"
"fanuc","0i mate-d","a","CNC_S"
"siemens","ozw672.01","h","PLC"
"moxa","nport 5110","h","SDS"
"moxa","@iie_h_sds_moxa","h","SDS"
"moxa","nport 5200 series","h","SDS"
"lantronix","mss485-t","h","SDS"
"schneider","opc factory server tlxcdstofs","h","OPC_S"
"schneider","ofs test client tlxcdluofs33","a","UnkICS"
"schneider","ofs test client tlxcdsuofs33","a","UnkICS"
"schneider","opc factory server tlxcdlfofs","h","UnkICS"
"siemens","sicam pas","a","UnkICS"
"siemens","simatic cfc","a","UnkICS"
"siemens","simatic hmi panels","a","UnkICS"
"siemens","simatic automation tool","a","UnkICS"
"siemens","simatic batch","a","UnkICS"
"siemens","simatic it production suite","a","UnkICS"
"siemens","simatic logon","a","UnkICS"
"siemens","simatic net pc","a","UnkICS"
"siemens","simatic net pc-software","a","UnkICS"
"siemens","simatic openpcs 7","a","UnkICS"
"siemens","simatic pcs7","a","UnkICS"
"siemens","simatic pcs 7","a","UnkICS"
"siemens","simatic prosave","a","UnkICS"
"siemens","simatic rf-manager","a","UnkICS"
"bachmann","mx213","h","PLC"
"schneider","tsxefcf02","h","PLC"
"schneider","tsxefcm01","h","PLC"
"schneider","tsxefcm02","h","PLC"
"schneider","tsxefct03","h","PLC"
"advantech","adamview","a","UnkICS"
"caimore","cm3150p","h","RTU"
"ge","ic697mdl253rr","h","PLC"
"omron","7-10a","h","RPD"
"omron","h3cr-a","h","RPD"
"rockwell","523","h","VFD"
"schneider","140chs41010","h","PLC"
"schneider","490ntrj11","h","PLC"
"schneider","kt52","h","PLC"
"schneider","twdxsm6","h","PLC"
"schneider","twdxsm9","h","PLC"
"siemens","simatic s7-400h","h","PLC"
"xj electric","ds-32c","h","RPD"
"sangrong","3130ep","h","DTU"
"yokogawa","daqopc","h","OPC_S"
"yokogawa","stardom fcn/fcj opc server","h","OPC_S"
"moxa","nport 5450-t","h","SDS"
"moxa","nport 5450","h","SDS"
"moxa","miineport e2","h","SDS"
"moxa","miineport e3","h","SDS"
"moxa","iologic e2214","h","OPC_S"
"moxa","iologic e2212","h","OPC_S"
"moxa","nport 5110a","h","SDS"
