Audit - (1009),0,10081009,Weaknesses in this category are related to the design and architecture of audit-based components of the system. Frequently these deal with logging user activities in order to identify attackers and modifications to the system. The weaknesses in this category could lead to a degradation of the quality of the audit capability if they are not addressed when designing or implementing a secure architecture.,0
Improper Output Neutralization for Logs - (117),1,10081009117,The software does not neutralize or incorrectly neutralizes output that is written to logs.,10081009
Omission of Security-relevant Information - (223),2,10081009223,"The application does not record or display information that would be important for identifying the source or nature of an attack, or determining if an action is safe.",10081009
Obscured Security-relevant Information by Alternate Name - (224),3,10081009224,"The software records security-relevant information according to an alternate name of the affected entity, instead of the canonical name.",10081009
Insertion of Sensitive Information into Log File - (532),4,10081009532,Information written to log files can be of a sensitive nature and give valuable guidance to an attacker or expose sensitive user information.,10081009
Insufficient Logging - (778),5,10081009778,"When a security-critical event occurs, the software either does not record the event or omits important details about the event when logging it.",10081009
Logging of Excessive Data - (779),6,10081009779,"The software logs too much information, making log files hard to process and possibly hindering recovery efforts or forensic analysis after an attack.",10081009
Authenticate Actors - (1010),7,10081010,Weaknesses in this category are related to the design and architecture of authentication components of the system. Frequently these deal with verifying the entity is indeed who it claims to be. The weaknesses in this category could lead to a degradation of the quality of authentication if they are not addressed when designing or implementing a secure architecture.,0
Empty Password in Configuration File - (258),8,10081010258,Using an empty string as a password is insecure.,10081010
Use of Hard-coded Password - (259),9,10081010259,"The software contains a hard-coded password, which it uses for its own inbound authentication or for outbound communication to external components.",10081010
Not Using Password Aging - (262),10,10081010262,"If no mechanism is in place for managing password aging, users will have no incentive to update passwords in a timely manner.",10081010
Password Aging with Long Expiration - (263),11,10081010263,Allowing password aging to occur unchecked can result in the possibility of diminished password integrity.,10081010
Improper Authentication - (287),12,10081010287,"When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct.authentificationAuthC",10081010
Authentication Bypass Using an Alternate Path or Channel - (288),13,10081010288,"A product requires authentication, but the product has an alternate path or channel that does not require authentication.",10081010
Authentication Bypass by Alternate Name - (289),14,10081010289,"The software performs authentication based on the name of a resource being accessed, or the name of the actor performing the access, but it does not properly check all possible names for that resource or actor.",10081010
Authentication Bypass by Spoofing - (290),15,10081010290,This attack-focused weakness is caused by improperly implemented authentication schemes that are subject to spoofing attacks.,10081010
Reliance on IP Address for Authentication - (291),16,10081010291,The software uses an IP address for authentication.,10081010
Using Referer Field for Authentication - (293),17,10081010293,"The referer field in HTTP requests can be easily modified and, as such, is not a valid means of message integrity checking.referrer",10081010
Authentication Bypass by Capture-replay - (294),18,10081010294,A capture-replay flaw exists when the design of the software makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes).,10081010
Reflection Attack in an Authentication Protocol - (301),19,10081010301,Simple authentication protocols are subject to reflection attacks if a malicious user can use the target machine to impersonate a trusted user.,10081010
Authentication Bypass by Assumed-Immutable Data - (302),20,10081010302,"The authentication scheme or implementation uses key data elements that are assumed to be immutable, but can be controlled or modified by the attacker.",10081010
Incorrect Implementation of Authentication Algorithm - (303),21,10081010303,"The requirements for the software dictate the use of an established authentication algorithm, but the implementation of the algorithm is incorrect.",10081010
Missing Critical Step in Authentication - (304),22,10081010304,"The software implements an authentication technique, but it skips a step that weakens the technique.",10081010
Authentication Bypass by Primary Weakness - (305),23,10081010305,"The authentication algorithm is sound, but the implemented mechanism can be bypassed as the result of a separate weakness that is primary to the authentication error.",10081010
Missing Authentication for Critical Function - (306),24,10081010306,The software does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.,10081010
Improper Restriction of Excessive Authentication Attempts - (307),25,10081010307,"The software does not implement sufficient measures to prevent multiple failed authentication attempts within in a short time frame, making it more susceptible to brute force attacks.",10081010
Use of Single-factor Authentication - (308),26,10081010308,The use of single-factor authentication can lead to unnecessary risk of compromise when compared with the benefits of a dual-factor authentication scheme.,10081010
Key Exchange without Entity Authentication - (322),27,10081010322,The software performs a key exchange with an actor without verifying the identity of that actor.,10081010
Weak Password Requirements - (521),28,10081010521,"The product does not require that users should have strong passwords, which makes it easier for attackers to compromise user accounts.",10081010
