API / Function Errors - (1228),0,6991228,Weaknesses in this category are related to the use of built-in functions or external APIs.,0
Use of Inherently Dangerous Function - (242),1,6991228242,The program calls a function that can never be guaranteed to work safely.,6991228
Use of Function with Inconsistent Implementations - (474),2,6991228474,The code uses a function that has inconsistent implementations across operating systems and versions.,6991228
Undefined Behavior for Input to API - (475),3,6991228475,The behavior of this function is undefined unless its control parameter is set to a specific value.,6991228
Use of Obsolete Function - (477),4,6991228477,"The code uses deprecated or obsolete functions, which suggests that the code has not been actively reviewed or maintained.",6991228
Use of Potentially Dangerous Function - (676),5,6991228676,"The program invokes a potentially dangerous function that could introduce a vulnerability if it is used incorrectly, but the function can also be used safely.",6991228
Use of Low-Level Functionality - (695),6,6991228695,The software uses low-level functionality that is explicitly prohibited by the framework or specification under which the software is supposed to operate.,6991228
Exposed Dangerous Method or Function - (749),7,6991228749,"The software provides an Applications Programming Interface (API) or similar interface for interaction with external actors, but the interface includes a dangerous method or function that is not properly restricted.",6991228
Audit / Logging Errors - (1210),8,6991210,Weaknesses in this category are related to audit-based components of a software system. Frequently these deal with logging user activities in order to identify undesired access and modifications to the system. The weaknesses in this category could lead to a degradation of the quality of the audit capability if they are not addressed.,0
Improper Output Neutralization for Logs - (117),9,6991210117,The software does not neutralize or incorrectly neutralizes output that is written to logs.,6991210
Truncation of Security-relevant Information - (222),10,6991210222,"The application truncates the display, recording, or processing of security-relevant information in a way that can obscure the source or nature of an attack.",6991210
Omission of Security-relevant Information - (223),11,6991210223,"The application does not record or display information that would be important for identifying the source or nature of an attack, or determining if an action is safe.",6991210
Obscured Security-relevant Information by Alternate Name - (224),12,6991210224,"The software records security-relevant information according to an alternate name of the affected entity, instead of the canonical name.",6991210
Insertion of Sensitive Information into Log File - (532),13,6991210532,Information written to log files can be of a sensitive nature and give valuable guidance to an attacker or expose sensitive user information.,6991210
Insufficient Logging - (778),14,6991210778,"When a security-critical event occurs, the software either does not record the event or omits important details about the event when logging it.",6991210
Logging of Excessive Data - (779),15,6991210779,"The software logs too much information, making log files hard to process and possibly hindering recovery efforts or forensic analysis after an attack.",6991210
Authentication Errors - (1211),16,6991211,"Weaknesses in this category are related to authentication components of a system. Frequently these deal with the ability to verify that an entity is indeed who it claims to be. If not addressed when designing or implementing a software system, these weaknesses could lead to a degradation of the quality of the authentication capability.",0
Authentication Bypass Using an Alternate Path or Channel - (288),17,6991211288,"A product requires authentication, but the product has an alternate path or channel that does not require authentication.",6991211
Authentication Bypass by Spoofing - (290),18,6991211290,This attack-focused weakness is caused by improperly implemented authentication schemes that are subject to spoofing attacks.,6991211
Authentication Bypass by Capture-replay - (294),19,6991211294,A capture-replay flaw exists when the design of the software makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes).,6991211
Improper Certificate Validation - (295),20,6991211295,"The software does not validate, or incorrectly validates, a certificate.",6991211
Improper Following of a Certificate's Chain of Trust - (296),21,6991211296,"The software does not follow, or incorrectly follows, the chain of trust for a certificate back to a trusted root certificate, resulting in incorrect trust of any resource that is associated with that certificate.",6991211
Improper Check for Certificate Revocation - (299),22,6991211299,"The software does not check or incorrectly checks the revocation status of a certificate, which may cause it to use a certificate that has been compromised.",6991211
Incorrect Implementation of Authentication Algorithm - (303),23,6991211303,"The requirements for the software dictate the use of an established authentication algorithm, but the implementation of the algorithm is incorrect.",6991211
Missing Critical Step in Authentication - (304),24,6991211304,"The software implements an authentication technique, but it skips a step that weakens the technique.",6991211
Authentication Bypass by Primary Weakness - (305),25,6991211305,"The authentication algorithm is sound, but the implemented mechanism can be bypassed as the result of a separate weakness that is primary to the authentication error.",6991211
Missing Authentication for Critical Function - (306),26,6991211306,The software does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.,6991211
Improper Restriction of Excessive Authentication Attempts - (307),27,6991211307,"The software does not implement sufficient measures to prevent multiple failed authentication attempts within in a short time frame, making it more susceptible to brute force attacks.",6991211
Use of Single-factor Authentication - (308),28,6991211308,The use of single-factor authentication can lead to unnecessary risk of compromise when compared with the benefits of a dual-factor authentication scheme.,6991211
Use of Password System for Primary Authentication - (309),29,6991211309,"The use of password systems as the primary means of authentication may be subject to several flaws or shortcomings, each reducing the effectiveness of the mechanism.",6991211
Key Exchange without Entity Authentication - (322),30,6991211322,The software performs a key exchange with an actor without verifying the identity of that actor.,6991211
Use of Client-Side Authentication - (603),31,6991211603,"A client/server product performs authentication within client code but not in server code, allowing server-side authentication to be bypassed via a modified client that omits the authentication check.",6991211
Overly Restrictive Account Lockout Mechanism - (645),32,6991211645,"The software contains an account lockout protection mechanism, but the mechanism is too restrictive and can be triggered too easily, which allows attackers to deny service to legitimate users by causing their accounts to be locked out.",6991211
Guessable CAPTCHA - (804),33,6991211804,"The software uses a CAPTCHA challenge, but the challenge can be guessed or automatically recognized by a non-human actor.",6991211
Use of Password Hash Instead of Password for Authentication - (836),34,6991211836,"The software records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",6991211
Authorization Errors - (1212),35,6991212,"Weaknesses in this category are related to authorization components of a system. Frequently these deal with the ability to enforce that agents have the required permissions before performing certain operations, such as modifying data. If not addressed when designing or implementing a software system, these weaknesses could lead to a degradation of the quality of the authorization capability.",0
Direct Request ('Forced Browsing') - (425),36,6991212425,"The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files.forced browsing",6991212
Incorrect Behavior Order: Authorization Before Parsing and Canonicalization - (551),37,6991212551,"If a web server does not fully parse requested URLs before it examines them for authorization, it may be possible for an attacker to bypass authorization protection.",6991212
Improper Authorization of Index Containing Sensitive Information - (612),38,6991212612,"The product creates a search index of private or sensitive documents, but it does not properly limit index access to actors who are authorized to see the original information.",6991212
Authorization Bypass Through User-Controlled Key - (639),39,6991212639,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.Insecure Direct Object Reference / IDORHorizontal Authorization,6991212
Improper Authorization in Handler for Custom URL Scheme - (939),40,6991212939,"The software uses a handler for a custom URL scheme, but it does not properly restrict which actors can invoke the handler using the scheme.",6991212
Placement of User into Incorrect Group - (842),41,6991212842,The software or the administrator places a user into an incorrect group.,6991212
Insufficient Granularity of Access Control - (1220),42,69912121220,"The product implements access controls via a policy or other feature with the intention to disable or restrict accesses (reads and/or writes) to assets in a system from untrusted agents. However, implemented access controls lack required granularity, which renders the control policy too broad because it allows accesses from unauthorized agents to the security-sensitive assets.",6991212
