Improper Access Control - (284),0,1000284,The software does not restrict or incorrectly restricts access to a resource from an unauthorized actor.Authorization,0
Exposed Chip Debug and or Test Interface With Insufficient Access Control - (1191),1,10002841191,"The chip does not implement or does not correctly
             enforce access control on the debug/test interface, thus allowing an
             attacker to exercise the debug/test interface to access a portion of
           the chip internal registers that typically would not be
           exposed.",1000284
Insufficient Granularity of Access Control - (1220),2,10002841220,"The product implements access controls via a policy or other feature with the intention to disable or restrict accesses (reads and/or writes) to assets in a system from untrusted agents. However, implemented access controls lack required granularity, which renders the control policy too broad because it allows accesses from unauthorized agents to the security-sensitive assets.",1000284
Insufficient Granularity of Address Regions Protected by Register Locks - (1222),3,100028412201222,The product defines a large address region protected from modification by the same register lock control bit. This results in a conflict between the functional requirement that some addresses need to be writable by software during operation and the security requirement that the system configuration lock bit must be set during the boot process.,10002841220
Improper Restriction of Write-Once Bit Fields - (1224),4,10002841224,"The hardware design control register ""sticky bits"" or write-once bit fields are improperly implemented, such that they can be reprogrammed by software.",1000284
Improper Implementation of Lock Protection Registers - (1231),5,10002841231,The product incorrectly implements register lock bit protection features such that protected controls can be programmed even after the lock has been set.,1000284
Inclusion of Undocumented Features or Chicken Bits - (1242),6,10002841242,The chip includes chicken bits or undocumented features that can create entry points for unauthorized actors.,1000284
CPU Hardware Not Configured to Support Exclusivity of Write and Execute Operations - (1252),7,10002841252,The CPU is not configured to provide hardware support for exclusivity of write and execute operations on memory. This allows an attacker to execute data from all of memory.,1000284
Hardware Features Enable Physical Attacks from Software - (1256),8,10002841256,Software-controllable device functionality such as power and clock management permits unauthorized corruption of bits.,1000284
Improper Access Control Applied to Mirrored or Aliased Memory Regions - (1257),9,10002841257,"Aliased or mirrored memory regions in hardware designs 
            may have inconsistent read/write permissions enforced by hardware. 
            In this way, it could be possible that an untrusted agent is blocked from 
            accessing a memory region but is not blocked from accessing the 
            corresponding aliased memory region.
            ",1000284
Improper Protection of Security Identifiers - (1259),10,10002841259,"The product implements a Security Identifier mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity.  However, the Security Identifiers are improperly protected.",1000284
Improper Handling of Overlap Between Protected Memory Ranges - (1260),11,10002841260,"The product allows address regions to overlap, which can result in the bypassing of intended memory protection.",1000284
Register Interface Allows Software Access to Sensitive Data or Security Settings - (1262),12,10002841262,Memory-mapped registers provide access to hardware functionality from software and if not properly secured can result in loss of confidentiality and integrity.,1000284
Policy Uses Obsolete Encoding - (1267),13,10002841267,The product uses an obsolete encoding mechanism to implement access controls.,1000284
Agents Included in Control Policy are not Contained in Less-Privileged Policy - (1268),14,10002841268,"The product's hardware-enforced access control for a particular resource improperly accounts for privilege discrepancies between control and write policies.
			   ",1000284
Generation of Incorrect Security Identifiers - (1270),15,10002841270,"The product implements a Security Identifier mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity.  However, the Security Identifiers generated in the system are incorrect.",1000284
Insufficient Protections on the Volatile Memory Containing Boot Code - (1274),16,10002841274,"The protections on the product's non-volatile memory containing boot code are insufficient to prevent the bypassing of secure boot or the execution of an untrusted, boot code chosen by an adversary.",1000284
Sensitive Cookie with Improper SameSite Attribute - (1275),17,10002841275,"The SameSite attribute for sensitive cookies is not set, or an insecure value is used.",1000284
Hardware Block Incorrectly Connected to Larger System - (1276),18,10002841276,Signals between a hardware IP and the larger system design are incorrectly connected.,1000284
Access Control Check Implemented After Asset is Accessed - (1280),19,10002841280,A product's hardware-based access control check occurs after the asset has been accessed.,1000284
Mutable Attestation or Measurement Reporting Data - (1283),20,10002841283,The register contents used for attestation or measurement reporting data to verify boot flow are modifiable by an adversary.,1000284
Improper Privilege Management - (269),21,1000284269,"The software does not properly assign, modify, track, or check privileges for an actor, creating an unintended sphere of control for that actor.",1000284
Execution with Unnecessary Privileges - (250),22,1000284269250,"The software performs an operation at a privilege level that is higher than the minimum level required, which creates new weaknesses or amplifies the consequences of other weaknesses.",1000284269
Incorrect Privilege Assignment - (266),23,1000284269266,"A product incorrectly assigns a privilege to a particular actor, creating an unintended sphere of control for that actor.",1000284269
Use of Web Link to Untrusted Target with window.opener Access - (1022),24,10002842692661022,"The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying  security-critical properties of the window.opener object, such as the location property.tabnabbing",1000284269266
.NET Misconfiguration: Use of Impersonation - (520),25,1000284269266520,Allowing a .NET application to run at potentially escalated levels of access to the underlying operating and file systems can be dangerous and result in various forms of attacks.,1000284269266
ASP.NET Misconfiguration: Use of Identity Impersonation - (556),26,1000284269266556,Configuring an ASP.NET application to run with impersonated credentials may give the application unnecessary privileges.,1000284269266
J2EE Misconfiguration: Weak Access Permissions for EJB Methods - (9),27,10002842692669,"If elevated access rights are assigned to EJB methods, then an attacker can take advantage of the permissions to exploit the software system.",1000284269266
Privilege Defined With Unsafe Actions - (267),28,1000284269267,"A particular privilege, role, capability, or right can be used to perform unsafe actions that were not intended, even when it is assigned to the correct entity.",1000284269
Unsafe ActiveX Control Marked Safe For Scripting - (623),29,1000284269267623,"An ActiveX control is intended for restricted use, but it has been marked as safe-for-scripting.",1000284269267
Privilege Chaining - (268),30,1000284269268,"Two distinct privileges, roles, capabilities, or rights can be combined in a way that allows an entity to perform unsafe actions that would not be allowed without that combination.",1000284269
Privilege Context Switching Error - (270),31,1000284269270,The software does not properly manage privileges while it is switching between different contexts that have different privileges or spheres of control.,1000284269
Privilege Dropping / Lowering Errors - (271),32,1000284269271,The software does not drop privileges before passing control of a resource to an actor that does not have those privileges.,1000284269
Least Privilege Violation - (272),33,1000284269271272,The elevated privilege level required to perform operations such as chroot() should be dropped immediately after the operation is performed.,1000284269271
Improper Check for Dropped Privileges - (273),34,1000284269271273,The software attempts to drop privileges but does not check or incorrectly checks to see if the drop succeeded.,1000284269271
Improper Handling of Insufficient Privileges - (274),35,1000284269274,"The software does not handle or incorrectly handles when it has insufficient privileges to perform an operation, leading to resultant weaknesses.",1000284269
Incorrect Use of Privileged APIs - (648),36,1000284269648,The application does not conform to the API requirements for a function call that requires extra privileges. This could allow attackers to gain privileges by causing the function to be called incorrectly.,1000284269
Improper Ownership Management - (282),37,1000284282,"The software assigns the wrong ownership, or does not properly verify the ownership, of an object or resource.",1000284
Unverified Ownership - (283),38,1000284282283,The software does not properly verify that a critical resource is owned by the proper entity.,1000284282
Incorrect Ownership Assignment - (708),39,1000284282708,"The software assigns an owner to a resource, but the owner is outside of the intended control sphere.",1000284282
Improper Authorization - (285),40,1000284285,The software does not perform or incorrectly performs an authorization check when an actor attempts to access a resource or perform an action.AuthZ,1000284
Exposure of Sensitive Information Through Metadata - (1230),41,10002842851230,"The product prevents direct access to a resource containing sensitive information, but it does not sufficiently limit access to metadata that is derived from the original, sensitive information.",1000284285
Exposure of Sensitive Information Through Data Queries - (202),42,10002842851230202,"When trying to keep information confidential, an attacker can often infer some of the information by using statistics.",10002842851230
Improper Authorization of Index Containing Sensitive Information - (612),43,10002842851230612,"The product creates a search index of private or sensitive documents, but it does not properly limit index access to actors who are authorized to see the original information.",10002842851230
Improper Authorization on Physical Debug and Test Interfaces - (1244),44,10002842851244,"The product's physical debug and test interface protection does not block untrusted agents, resulting in unauthorized access to and potentially control of sensitive assets.",1000284285
Files or Directories Accessible to External Parties - (552),45,1000284285552,"The product makes files or directories accessible to unauthorized actors, even though they should not be.",1000284285
Storage of File with Sensitive Data Under Web Root - (219),46,1000284285552219,"The application stores sensitive data under the web document root with insufficient access control, which might make it accessible to untrusted parties.",1000284285552
Unparsed Raw Web Content Delivery - (433),47,1000284285552219433,The software stores raw content or supporting code under the web document root with an extension that is not specifically handled by the server.,1000284285552219
Storage of File With Sensitive Data Under FTP Root - (220),48,1000284285552220,"The application stores sensitive data under the FTP server root with insufficient access control, which might make it accessible to untrusted parties.",1000284285552
Exposure of Version-Control Repository to an Unauthorized Control Sphere - (527),49,1000284285552527,"The product stores a CVS, git, or other repository in a directory, archive, or other resource that is stored, transferred, or otherwise made accessible to unauthorized actors.",1000284285552
Exposure of Core Dump File to an Unauthorized Control Sphere - (528),50,1000284285552528,"The product generates a core dump file in a directory, archive, or other resource that is stored, transferred, or otherwise made accessible to unauthorized actors.",1000284285552
Exposure of Access Control List Files to an Unauthorized Control Sphere - (529),51,1000284285552529,The product stores access control list files in a directory or other container that is accessible to actors outside of the intended control sphere.,1000284285552
Exposure of Backup File to an Unauthorized Control Sphere - (530),52,1000284285552530,A backup file is stored in a directory or archive that is made accessible to unauthorized actors.,1000284285552
Use of Persistent Cookies Containing Sensitive Information - (539),53,1000284285552539,"The web application uses persistent cookies, but the cookies contain sensitive information.",1000284285552
Command Shell in Externally Accessible Directory - (553),54,1000284285552553,A possible shell file exists in /cgi-bin/ or other accessible directories. This is extremely dangerous and can be used by an attacker to execute commands on the web server.,1000284285552
Incorrect Permission Assignment for Critical Resource - (732),55,1000284285732,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.,1000284285
Sensitive Cookie Without 'HttpOnly' Flag - (1004),56,10002842857321004,"The software uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag.",1000284285732
Incorrect Default Permissions - (276),57,1000284285732276,"The product, upon installation, sets incorrect permissions for an object that exposes it to an unintended actor.",1000284285732
Insecure Inherited Permissions - (277),58,1000284285732277,A product defines a set of insecure permissions that are inherited by objects that are created by the program.,1000284285732
Insecure Preserved Inherited Permissions - (278),59,1000284285732278,"A product inherits a set of insecure permissions for an object, e.g. when copying from an archive file, without user awareness or involvement.",1000284285732
Incorrect Execution-Assigned Permissions - (279),60,1000284285732279,"While it is executing, the software sets the permissions of an object in a way that violates the intended permissions that have been specified by the user.",1000284285732
Improper Preservation of Permissions - (281),61,1000284285732281,"The software does not preserve permissions or incorrectly preserves permissions when copying, restoring, or sharing objects, which can cause them to have less restrictive permissions than intended.",1000284285732
Missing Authorization - (862),62,1000284285862,The software does not perform an authorization check when an actor attempts to access a resource or perform an action.AuthZ,1000284285
Direct Request ('Forced Browsing') - (425),63,1000284285862425,"The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files.forced browsing",1000284285862
Not Using Complete Mediation - (638),64,1000284285862638,"The software does not perform access checks on a resource every time the resource is accessed by an entity, which can create resultant weaknesses if that entity's rights or privileges change over time.",1000284285862
Improper Protection of Alternate Path - (424),65,1000284285862638424,The product does not sufficiently protect all possible paths that a user can take to access restricted functionality or resources.,1000284285862638
